region_id,Persons_Total_Has_need_for_assistance,Persons_Total_Does_not_have_need_for_assistance,Persons_Total_Need_for_assistance_not_stated,Persons_Total_Total
1101013,0,0,0,0
1101014,4,154,9,167
1101015,16,504,70,590
1101101,15,335,18,368
1101102,0,228,18,246
1101103,3,234,9,246
1101104,15,458,75,548
1101105,6,451,56,513
1101106,0,326,24,350
1101107,21,286,37,344
1101108,18,393,26,437
1101109,9,278,16,303
1101110,12,319,12,343
1101111,6,374,34,414
1101112,0,170,11,181
1101113,10,98,5,113
1101114,3,279,24,306
1101115,0,255,24,279
1101116,0,265,42,307
1101117,6,253,16,275
1101118,13,329,9,351
1101119,4,255,34,293
1101120,5,511,8,524
1101121,10,294,6,310
1101122,3,267,12,282
1101123,0,220,15,235
1101124,15,820,37,872
1101125,17,469,17,503
1101126,12,442,19,473
1101127,0,316,11,327
1101128,6,234,24,264
1101129,7,347,16,370
1101130,7,519,43,569
1101131,0,203,8,211
1101132,4,290,9,303
1101133,6,316,6,328
1101134,12,272,15,299
1101135,15,244,9,268
1101136,6,297,0,303
1101137,3,289,12,304
1101138,12,518,7,537
1101139,6,206,0,212
1101140,3,360,6,369
1101201,3,197,12,212
1101202,3,236,0,239
1101203,6,561,18,585
1101204,3,319,15,337
1101205,3,332,0,335
1101206,3,355,6,364
1101207,12,217,9,238
1101208,10,431,9,450
1101209,16,669,30,715
1101210,9,446,21,476
1101211,6,610,0,616
1101212,0,323,15,338
1101213,21,490,17,528
1101214,10,523,11,544
1101215,9,436,12,457
1101216,6,329,12,347
1101217,0,15,6,21
1101218,21,471,9,501
1101219,18,518,50,586
1101220,21,419,15,455
1101221,6,295,3,304
1101222,6,492,9,507
1101223,5,528,13,546
1101224,6,531,22,559
1101225,0,0,0,0
1101226,0,0,0,0
1101227,6,408,9,423
1101228,18,386,18,422
1101229,15,389,35,439
1101230,18,220,12,250
1101231,6,302,3,311
1101232,12,469,10,491
1101301,20,243,6,269
1101302,56,397,27,480
1101303,13,239,15,267
1101304,10,449,4,463
1101305,9,195,12,216
1101306,7,174,0,181
1101307,18,277,7,302
1101308,15,217,9,241
1101401,52,286,16,354
1101402,21,324,27,372
1101403,39,336,28,403
1101404,36,391,30,457
1101405,25,382,38,445
1101406,26,446,15,487
1101407,16,377,8,401
1101408,16,197,3,216
1101409,70,339,6,415
1101410,28,366,24,418
1101411,22,325,135,482
1101412,24,452,15,491
1101413,15,321,19,355
1101414,7,187,11,205
1101415,14,316,9,339
1101416,18,434,4,456
1101417,0,10,0,10
1101418,9,338,26,373
1101501,0,0,0,0
1101502,0,15,0,15
1101503,19,205,3,227
1101504,12,175,12,199
1101505,0,107,0,107
1101506,10,339,12,361
1101507,12,214,3,229
1101508,10,326,38,374
1101509,24,467,9,500
1101510,11,337,31,379
1101511,18,209,0,227
1101512,0,194,9,203
1101513,21,314,20,355
1101601,3,115,31,149
1101602,26,393,22,441
1101603,5,279,6,290
1101604,9,159,6,174
1101605,6,192,13,211
1101606,4,363,20,387
1101607,12,193,7,212
1101608,4,262,6,272
1101609,0,192,75,267
1101610,12,608,40,660
1101611,0,230,241,471
1101612,0,121,13,134
1101613,6,226,0,232
1101614,9,273,14,296
1101615,6,325,27,358
1101616,6,366,72,444
1101617,9,296,110,415
1101618,12,403,136,551
1101619,15,437,15,467
1101620,3,158,56,217
1101701,85,447,27,559
1101702,12,217,11,240
1101703,30,359,18,407
1101704,32,291,38,361
1101705,27,175,31,233
1101706,54,329,49,432
1101707,0,3,0,3
1101708,19,355,21,395
1101709,20,554,31,605
1101710,14,315,45,374
1101711,12,266,12,290
1101712,26,462,16,504
1101713,21,369,35,425
1101714,0,0,0,0
1101715,0,0,0,0
1101716,41,393,39,473
1101717,20,228,5,253
1101718,28,336,39,403
1101719,28,318,25,371
1101720,19,220,15,254
1101721,33,350,34,417
1101722,30,468,12,510
1101801,0,299,22,321
1101802,18,260,13,291
1101803,11,346,9,366
1101804,9,170,10,189
1101805,9,226,0,235
