Name1,Name2,Latitude,Longitude,State,pop,unk2
'Tumby Bay','Tumby Bay',-34.3829,136.0833,'South Australia','',1791,1036529327
'Forster-Tuncurry','Forster-Tuncurry',-32.1931,152.5266,'New South Wales','',17591,1036846186
'Bundaberg','Bundaberg',-24.8791,152.3509,'Queensland','',52472,1036377333
'Yulara','Yulara',-25.2405,130.9889,'Northern Territory','',930,1036245584
'Richmond','Richmond',-33.5995,150.74,'New South Wales','',13880,1036934091
'Richmond','Richmond',-20.7163,143.1333,'Queensland','',296,1036156498
'Rockhampton','Rockhampton',-23.3639,150.52,'Queensland','',65850,1036768986
'Roebourne','Roebourne',-20.7829,117.1333,'Western Australia','',19260,1036752479
'Roma','Roma',-26.5594,148.7907,'Queensland','',5496,1036698836
'Cloncurry','Cloncurry',-20.7,140.5,'Queensland','',1202,1036672657
'Cobram','Cobram',-35.9196,145.65,'Victoria','',4659,1036438159
'Coffs Harbour','Coffs Harbour',-30.3071,153.1123,'New South Wales','',62978,1036320442
'Colac','Colac',-38.3395,143.58,'Victoria','',9089,1036633113
'Alice Springs','Alice Springs',-23.701,133.88,'Northern Territory','',27710,1036830397
'Ararat','Ararat',-37.2795,142.91,'Victoria','',6110,1036674088
'Carnarvon','Carnarvon',-24.8998,113.6501,'Western Australia','',7392,1036344209
'Ceduna','Ceduna',-32.0991,133.6623,'South Australia','',1586,1036725988
'Charleville','Charleville',-26.4,146.25,'Queensland','',1900,1036575498
'Charters Towers','Charters Towers',-20.0809,146.2587,'Queensland','',9573,1036733088
'Kalbarri','Kalbarri',-27.6662,114.1667,'Western Australia','',1537,1036429141
'Kununurra','Kununurra',-15.7666,128.7333,'Western Australia','',5679,1036556231
'Dalby','Dalby',-27.1939,151.2657,'Queensland','',9847,1036053707
'Lithgow','Lithgow',-33.4961,150.1528,'New South Wales','',11128,1036591538
'Manjimup','Manjimup',-34.2333,116.15,'Western Australia','',4240,1036022434
'Maitland','Maitland',-32.721,151.555,'New South Wales','',18625,1036034945
'Mandurah','Mandurah',-32.5235,115.7471,'Western Australia','',73356,1036773118
'Karratha','Karratha',-20.7304,116.87,'Western Australia','',16796,1036951388
'Gawler','Gawler',-34.6074,138.7264,'South Australia','',16362,1036309493
'Geelong','Geelong',-38.1675,144.3956,'Victoria','',160991,1036870987
'Georgetown','Georgetown',-18.3,143.5333,'Queensland','',818,1036412066
'Geraldton','Geraldton',-28.7666,114.6,'Western Australia','',27258,1036811875
'Maryborough','Maryborough',-37.0496,143.73,'Victoria','',7046,1036781601
'Maryborough','Maryborough',-25.5491,152.7209,'Queensland','',20678,1036205623
'McMinns Lagoon','McMinns Lagoon',-12.5329,131.05,'Northern Territory','',5025,1036673821
'Toowoomba','Toowoomba',-27.5645,151.9555,'Queensland','',92800,1036765315
'Onslow','Onslow',-21.6576,115.0963,'Western Australia','',573,1036255184
'Orange','Orange',-33.28,149.1,'New South Wales','',39329,1036760396
'Stawell','Stawell',-37.0596,142.76,'Victoria','',6991,1036073093
'Echuca','Echuca',-36.1296,144.75,'Victoria','',19457,1036292989
'Eidsvold','Eidsvold',-25.3662,151.1333,'Queensland','',459,1036235197
'Emerald','Emerald',-23.5122,148.1673,'Queensland','',9398,1036124660
'Tamworth','Tamworth',-31.1026,150.9171,'New South Wales','',38551,1036233388
'Taree','Taree',-31.8976,152.4618,'New South Wales','',44182,1036855717
'Ballarat','Ballarat',-37.5596,143.84,'Victoria','',85109,1036567186
'Ballina','Ballina',-28.8614,153.568,'New South Wales','',14242,1036040102
'Barcaldine','Barcaldine',-23.5662,145.2834,'Queensland','',1068,1036284609
'Mount Barker','Mount Barker',-34.6328,117.6666,'Western Australia','',1781,1036651498
'Mount Gambier','Mount Gambier',-37.8313,140.765,'South Australia','',23209,1036932780
'Mount Isa','Mount Isa',-20.7239,139.49,'Queensland','',33200,1036386100
'Mount Magnet','Mount Magnet',-28.0662,117.8167,'Western Australia','',424,1036327720
'Kempsey','Kempsey',-31.0874,152.822,'New South Wales','',11840,1036897003
'Queanbeyan','Queanbeyan',-35.3546,149.2113,'New South Wales','',32602,1036846465
'Queenstown','Queenstown',-42.0829,145.55,'Tasmania','',2352,1036082142
'Quilpie','Quilpie',-26.6166,144.25,'Queensland','',560,1036696232
'Ravensthorpe','Ravensthorpe',-33.5829,120.0333,'Western Australia','',1101,1036878618
'Warrnambool','Warrnambool',-38.38,142.47,'Victoria','',29928,1036291219
'Warwick','Warwick',-28.2292,152.0203,'Queensland','',12347,1036412726
'Weipa','Weipa',-12.6666,141.8666,'Queensland','',2830,1036501067
'Ouyen','Ouyen',-35.0662,142.3167,'Victoria','',1400,1036764173
'Wollongong','Wollongong',-34.4154,150.89,'New South Wales','',260914,1036502269
'Wonthaggi','Wonthaggi',-38.6095,145.59,'Victoria','',5985,1036415078
'Kiama','Kiama',-34.7096,150.84,'New South Wales','',10379,1036754695
'Kimba','Kimba',-33.1496,136.4334,'South Australia','',636,1036035341
'Kingaroy','Kingaroy',-26.539,151.8406,'Queensland','',8573,1036463308
'Pine Creek','Pine Creek',-13.8162,131.8167,'Northern Territory','',665,1036858004
'Hobart','Hobart',-42.85,147.295,'Tasmania','admin',80870,1036679838
'Darwin','Darwin',-12.4254,130.85,'Northern Territory','admin',93080,1036497565
'Gingin','Gingin',-31.3496,115.9,'Western Australia','',1446,1036686561
'Meekatharra','Meekatharra',-26.6,118.4833,'Western Australia','',654,1036608457
'Melbourne','Melbourne',-37.82,144.975,'Victoria','admin',4170000,1036533631
'Woomera','Woomera',-31.1496,136.8,'South Australia','',450,1036392822
'Moranbah','Moranbah',-22.0016,148.038,'Queensland','',10000,1036916453
'Port Augusta','Port Augusta',-32.49,137.77,'South Australia','',13897,1036945368
'Port Douglas','Port Douglas',-16.4846,145.4587,'Queensland','',3000,1036053723
'Gladstone','Gladstone',-23.8533,151.2467,'Queensland','',30489,1036070755
'Gold Coast','Gold Coast',-28.0815,153.4482,'Queensland','',527660,1036153217
'Horsham','Horsham',-36.7096,142.19,'Victoria','',12830,1036654340
'Hughenden','Hughenden',-20.85,144.2,'Queensland','',421,1036738932
'Northam','Northam',-31.6566,116.6534,'Western Australia','',5855,1036868267
'Nowra','Nowra',-34.8828,150.6,'New South Wales','',94781,1036984536
'Shepparton','Shepparton',-36.3746,145.3914,'Victoria','',33550,1036030548
'Yeppoon','Yeppoon',-23.1329,150.7567,'Queensland','',10769,1036180170
